tcp,udp,tcp_var,udp_var,tcp_std,udp_std,tcp_entropy,udp_entropy,hurst_tcp,hurst_udp,skewness_tcp,kurtosis_tcp,skewness_udp,kurtosis_udp,burst,h2_pkt,h3_pkt,h2_bytes,h3_bytes,utr,utr_std,attack
1848,0,97.16,0,9.857,0,1.8867,0,0.5884,0.52,0.5757,-0.8071,0,-3,28.2,18645,0,557767940,0,0,0,0
1848,0,97.16,0,9.857,0,1.4708,0,0.5884,0.52,0.585,-0.812,0,-3,28.2,19137,0,573811700,0,0,0,0
1777,0,458.21,0,21.4058,0,1.6957,0,0.5884,0.52,-2.1588,3.5424,0,-3,27.7,19653,0,590609900,0,0,0,0
1114,0,8335.24,0,91.2975,0,1.4708,0,0.5884,0.52,-0.3852,-1.8196,0,-3,27.7,20118,0,605788160,0,0,0,0
1834,0,97.24,0,9.861,0,1.5571,0,0.5884,0.52,0.9255,-0.3878,0,-3,30.4,20529,0,619207800,0,0,0,0
1832,0,52.16,0,7.2222,0,1.5048,0,0.5884,0.52,-0.0045,-1.9753,0,-3,30.4,20938,0,632557900,0,0,0,0
1847,0,51.01,0,7.1421,0,1.6094,0,0.5884,0.52,-0.3985,-1.7933,0,-3,25.4,21452,0,649337900,0,0,0,0
968,0,8404.96,0,91.6786,0,1.7481,0,0.2782,0.3986,-0.0019,-1.9464,0,-3,25.4,21966,0,666117950,0,0,0,0
1865,0,84.05,0,9.1679,0,1.6957,0,0.2782,0.3986,0.3477,-0.723,0,-3,31.6,22401,0,680256000,0,0,0,0
1820,0,51.4,0,7.1694,0,1.5048,0,0.2782,0.3986,0.3957,-1.8146,0,-3,31.6,22816,0,693801900,0,0,0,0
1848,0,54.76,0,7.4,0,1.1683,0,0.2782,0.3986,-0.408,-1.8217,0,-3,26.2,23255,0,708070500,0,0,0,0
1848,0,52.16,0,7.2222,0,1.3322,0,0.2782,0.3986,-0.4239,-1.7789,0,-3,26.2,23769,0,724850560,0,0,0,0
1834,0,55.24,0,7.4324,0,1.6957,0,0.2782,0.3986,0.0045,-1.9648,0,-3,29.4,24278,0,741465200,0,0,0,0
1849,0,89.69,0,9.4705,0,1.8344,0,0.2782,0.3986,0.6835,-0.5794,0,-3,29.4,24694,0,755045950,0,0,0,0
1834,0,61.24,0,7.8256,0,1.5571,0,0.2782,0.3986,0.0076,-1.9744,0,-3,28.7,25109,0,768596160,0,0,0,0
1834,0,52.04,0,7.2139,0,1.2799,0,0.2782,0.3986,0.0024,-1.9854,0,-3,28.7,25570,0,783578700,0,0,0,0
1849,0,53.29,0,7.3,0,1.6957,0,0.2782,0.3986,-0.4034,-1.7993,0,-3,27.3,26085,0,800358800,0,0,0,0
1834,0,52.44,0,7.2415,0,1.4708,0,0.2442,0.52,0.0011,-1.9578,0,-3,27.3,26574,0,816324860,0,0,0,0
1834,0,52.24,0,7.2277,0,1.5571,0,0.2442,0.52,-0.0094,-1.969,0,-3,30.8,26985,0,829740160,0,0,0,0
1833,0,53.81,0,7.3355,0,1.6434,0,0.2442,0.52,0.0072,-1.9594,0,-3,30.8,27400,0,843290430,0,0,0,0
1848,0,99.96,0,9.998,0,1.6094,0,0.2442,0.52,0.6758,-0.5897,0,-3,25.2,27884,0,859091100,0,0,0,0
1821,0,53.29,0,7.3,0,1.6957,0,0.2442,0.52,0.4034,-1.7993,0,-3,25.2,28398,0,875871170,0,0,0,0
1850,0,93.4,0,9.6644,0,1.6094,0,0.2442,0.52,0.6062,-0.7537,0,-3,31.2,28869,0,891245250,0,0,0,0
1834,0,58.24,0,7.6315,0,1.4708,0,0.2442,0.52,0.0163,-1.9668,0,-3,31.2,29282,0,904730200,0,0,0,0
1848,0,55.36,0,7.4404,0,1.6957,0,0.2442,0.52,-0.3758,-1.8062,0,-3,26.7,29690,0,917984640,0,0,0,0
1846,0,97.64,0,9.8813,0,1.6957,0,0.2442,0.52,0.6006,-0.7662,0,-3,26.7,30200,0,934599300,0,0,0,0
1834,0,49.24,0,7.0171,0,1.3662,0,0.2442,0.52,0.0001,-1.9806,0,-3,29.2,30714,0,951379400,0,0,0,0
1292,0,6661.96,0,81.6208,0,1.8867,0,0.6505,0.52,-0.8623,-1.2203,0,-3,29.2,31153,0,965713150,0,0,0,0
1586,0,3539.24,0,59.4915,0,1.8344,0,0.6505,0.52,-1.8622,2.2079,0,-3,29,31566,0,979193700,0,0,0,0
1833,0,48.01,0,6.9289,0,1.1935,0,0.6505,0.52,-0.0136,-1.9707,0,-3,29,31999,0,993331650,0,0,0,0
1845,0,51.45,0,7.1729,0,1.4708,0,0.6505,0.52,-0.4162,-1.7947,0,-3,26.8,32514,0,1010111740,0,0,0,0
1843,0,54.81,0,7.4034,0,1.2799,0,0.6505,0.52,-0.4048,-1.8203,0,-3,26.8,33020,0,1026630660,0,0,0,0
1844,0,95.24,0,9.7591,0,1.6434,0,0.6505,0.52,0.6527,-0.6151,0,-3,31.3,33435,0,1040176600,0,0,0,0
1830,0,52.2,0,7.225,0,1.4708,0,0.6505,0.52,0.0111,-1.9728,0,-3,31.3,33850,0,1053726800,0,0,0,0
1844,0,98.04,0,9.9015,0,1.5571,0,0.6505,0.52,0.6171,-0.7192,0,-3,25,34313,0,1068839740,0,0,0,0
1815,0,48.25,0,6.9462,0,0.9433,0,0.6505,0.52,0.4028,-1.8299,0,-3,25,34827,0,1085619800,0,0,0,0
1843,0,91.01,0,9.5399,0,1.4185,0,0.6505,0.52,0.7415,-0.4197,0,-3,30.9,35307,0,1101289900,0,0,0,0
1844,0,50.04,0,7.0739,0,1.1683,0,0.8597,0.52,-0.4077,-1.8196,0,-3,30.9,35723,0,1114870700,0,0,0,0
1843,0,54.81,0,7.4034,0,1.2799,0,0.8597,0.52,-0.4048,-1.8203,0,-3,27.2,36137,0,1128386000,0,0,0,0
1843,0,46.01,0,6.7831,0,0.9433,0,0.8597,0.52,-0.4029,-1.8309,0,-3,27.2,36626,0,1144352100,0,0,0,0
1845,0,48.45,0,6.9606,0,1.3592,0,0.8597,0.52,-0.4154,-1.8025,0,-3,28.8,37140,0,1161132200,0,0,0,0
1830,0,49,0,7,0,0.6931,0,0.8597,0.52,0,-2,0,-3,28.8,37604,0,1176279900,0,0,0,0
1829,0,53.49,0,7.3137,0,1.2799,0,0.8597,0.52,-0.0022,-1.9844,0,-3,29.4,38020,0,1189860600,0,0,0,0
1843,0,93.81,0,9.6856,0,1.2799,0,0.8597,0.52,0.6919,-0.5339,0,-3,29.4,38426,0,1203080200,0,0,0,0
1843,0,51.81,0,7.1979,0,1.2206,0,0.8597,0.52,-0.4091,-1.8173,0,-3,26.3,38941,0,1219860200,0,0,0,0
1843,0,94.01,0,9.6959,0,1.5571,0,0.8597,0.52,0.5552,-0.865,0,-3,26.3,39455,0,1236640300,0,0,0,0
1832,0,49.16,0,7.0114,0,1.1935,0,0.8597,0.52,0.0003,-1.987,0,-3,31.5,39888,0,1250743400,0,0,0,0
1848,0,48.96,0,6.9971,0,1.3138,0,0.2519,0.52,-0.4035,-1.8186,0,-3,31.5,40305,0,1264359000,0,0,0,0
1832,0,54.96,0,7.4135,0,1.2799,0,0.2519,0.52,0.002,-1.9853,0,-3,25.4,40741,0,1278592600,0,0,0,0
1845,0,48.25,0,6.9462,0,0.9433,0,0.2519,0.52,-0.4028,-1.8299,0,-3,25.4,41255,0,1295372700,0,0,0,0
1844,0,92.24,0,9.6042,0,1.5571,0,0.2519,0.52,0.5663,-0.8387,0,-3,30.3,41762,0,1311922000,0,0,0,0
1846,0,52.44,0,7.2415,0,1.3138,0,0.2519,0.52,-0.404,-1.8186,0,-3,30.3,42177,0,1325472300,0,0,0,0
1831,0,56.49,0,7.516,0,1.3662,0,0.2519,0.52,-0.0001,-1.9831,0,-3,27.8,42594,0,1339083500,0,0,0,0
1831,0,50.49,0,7.1056,0,0.9433,0,0.2519,0.52,0.0049,-1.9931,0,-3,27.8,43054,0,1354100600,0,0,0,0
1816,0,98.04,0,9.9015,0,1.5571,0,0.2519,0.52,-0.6171,-0.7192,0,-3,28.3,43568,0,1370880800,0,0,0,0
1845,0,51.25,0,7.1589,0,1.2799,0,0.2519,0.52,-0.4047,-1.8184,0,-3,28.3,44050,0,1386585700,0,0,0,0
1830,0,97,0,9.8489,0,1.4708,0,0.2519,0.52,0.9892,-0.2266,0,-3,29.8,44467,0,1400131700,0,0,0,0
1846,0,49.44,0,7.0314,0,1.0549,0,0.3399,0.52,-0.3999,-1.8284,0,-3,0,44884,0,1413682200,0,0,0,0
1845,0,87.65,0,9.3622,0,1.6434,0,0.3399,0.52,0.6175,-0.7079,0,-3,26,45373,0,1429643800,0,0,0,0
1846,0,52.44,0,7.2415,0,1.3138,0,0.3399,0.52,-0.404,-1.8186,0,-3,26,45887,0,1446423900,0,0,0,0
1817,0,54.81,0,7.4034,0,1.2799,0,0.3399,0.52,0.4048,-1.8203,0,-3,31.3,46350,0,1461541100,0,0,0,0
1845,0,51.25,0,7.1589,0,1.2799,0,0.3399,0.52,-0.4047,-1.8184,0,-3,25.9,46769,0,1475217700,0,0,0,0
1845,0,51.25,0,7.1589,0,1.2799,0,0.3399,0.52,-0.4047,-1.8184,0,-3,25.9,47174,0,1488441500,0,0,0,0
1844,0,53.04,0,7.2829,0,1.3322,0,0.3399,0.52,-0.4062,-1.8163,0,-3,0,47686,0,1505156200,0,0,0,0
1845,0,48.45,0,6.9606,0,1.3592,0,0.3399,0.52,-0.4154,-1.8025,0,-3,29.8,48200,0,1521936300,0,0,0,0
1832,0,49.36,0,7.0257,0,1.4708,0,0.3399,0.52,-0.0122,-1.9696,0,-3,28.3,48632,0,1536039300,0,0,0,0
1832,0,51.96,0,7.2083,0,1.0297,0,0.3399,0.52,0.007,-1.9905,0,-3,28.3,49050,0,1549685400,0,0,0,0
1831,0,50.49,0,7.1056,0,0.9433,0,0.279,0.52,0.0049,-1.9931,0,-3,0,49485,0,1563884200,0,0,0,0
1843,0,51.81,0,7.1979,0,1.2206,0,0.279,0.52,-0.4091,-1.8173,0,-3,27.8,49999,0,1580664200,0,0,0,0
1858,0,47.16,0,6.8673,0,1.2206,0,0.279,0.52,-0.8673,-1.2261,0,-3,30.3,50506,0,1597152800,0,0,0,0
1843,0,54.81,0,7.4034,0,1.2799,0,0.279,0.52,-0.4048,-1.8203,0,-3,30.3,50923,0,1610698800,0,0,0,0
1830,0,55,0,7.4162,0,1.3662,0,0.279,0.52,0,-1.9821,0,-3,25.5,51346,0,1624410400,0,0,0,0
1845,0,48.45,0,6.9606,0,1.3592,0,0.279,0.52,-0.4154,-1.8025,0,-3,25.5,51806,0,1639397100,0,0,0,0
1844,0,98.04,0,9.9015,0,1.5571,0,0.279,0.52,0.6171,-0.7192,0,-3,0,52320,0,1656177200,0,0,0,0
1843,0,51.81,0,7.1979,0,1.2206,0,0.279,0.52,-0.4091,-1.8173,0,-3,31.3,52804,0,1671977700,0,0,0,0
1829,0,56.49,0,7.516,0,1.3662,0,0.279,0.52,0.0001,-1.9831,0,-3,26.4,53216,0,1685428000,0,0,0,0
1829,0,56.49,0,7.516,0,1.3662,0,0.279,0.52,0.0001,-1.9831,0,-3,26.4,53633,0,1699039100,0,0,0,0
